isbn,title,editor,rating,number_of_pages
9781984854032,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,"Random House International
",4.2,298.0
9781781251492,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Profile Books,4.15,201.0
9781422187609,HBR Guide to Managing Up and Across (HBR Guide Series),Harvard Business Review Press,3.72,192.0
9781789667042,"Redefining HR: Transforming People Teams to Drive Business Performance
",KoganPage,4.24,252.0
9781861979780,The 33 Strategies of War,Profile Books,4.21,470.0
9780190229238,Strategy: A History,Oxford University Press,3.97,751.0
9780978440749,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Page Two Books,4.02,227.0
9781788166331,"Discipline is Destiny
",Profile Books,4.3,312.0
9780753552896,The Making of a Manager: How to Crush Your Job as the New Boss,Virgin Books,4.22,260.0
9780670919536,The Personal MBA,Penguin Random House UK,4.11,464.0
9788483194195,La habitación de Pascal: Ensayos para fundamentar éticas de suficiencia y políticas de autocontención,Los Libros de la Catarata,4.5,317.0
9788498462050,Tenir o Ésser,Claret Editorial,4.19,273.0
9788499883052,Focus: Desarrollar la atención para alcanzar la excelencia,Editorial Kairós,3.56,357.0
9788492819577,La inteligencia no verbal,Viceversa Editorial,3.85,248.0
9781633690769,HBR Guide to Negotiating (HBR guide series),Harvard Business Review Press,3.68,177.0
9781633692152,"HBR Guide to Dealing with Conflict (HBR Guide Series)
",Harvard Business Review Press,3.82,193.0
9781625275325,"HBR Guide to Office Politics (HBR Guide Series)
",Harvard Business Review Press,3.77,175.0
9780141981802,Life 3.0: Being Human in the Age of Artificial Intelligence,Penguin Random House,4.02,364.0
9780241481950,Hold Successful Meetings,Penguin Random House,4.17,202.0
9788416029747,Rompe la barrera del NO,Penguin Random House,4.36,349.0
9780061241895,Influence: The Psychology of Persuasion,Harper Collins ,4.21,320.0
9788493664923,Cómo ganar amigos e influir sobre las personas,Elipse (Edhasa),4.22,303.0
9788483560815,¡Si! ,LID Editorial,3.97,255.0
9788499987217,Manual de negociación del Kremlin,Ediciones Temas de Hoy,3.93,392.0
9798846515932,Managing Negative Emotions,Amazon Italia Logistica,0.0,192.0
9781422157992,HBR's 10 Must Reads on Managing Yourself,Harvard Business Review Press,3.95,198.0
9780470749463,Happiness at Work: Maximizing Your Psychological Capital for Success,Wiley-Blackwell,4.05,254.0
9781781259191,Laws Of Human Nature,Profile Books,4.37,624.0
9780671510992,Diplomacy,Simon & Schuster,4.25,912.0
9780670923175,Leaders Eat Last,Penguin Random House,4.1,350.0
9781647823351,HBR Guide to Smarter Networking (HBR Guide Series),Harvard Business Review Press,3.66,265.0
9780137901234,Exam Ref PL-300 Power BI Data Analyst,Microsoft Press,3.45,208.0
9788445817599,Atlas de anatomía humana,Elsevier Masson,4.51,600.0
9788445819517,Netter. Anatomía radiológica esencial,Elsevier Masson,4.8,478.0
9780781714716,Anesthesiologist's Manual of Surgical Procedures,Lippincott Williams & Wilkins,4.56,1158.0
9788498350685,Anatomía de la Cabeza,Editorial Médica Panamericana,4.0,322.0
9782224032012,L'infirmiere de bloc operatoire,MALOINE,4.0,621.0
9780323043106,Instrumentation for the Operating Room: A Photographic Manual,Mosby,4.67,342.0
8448606426,BIOQUIMICA Y BIOLOGIA MOLECULAR EN C.C. DE LA SALUD + CD,McGraw-Hill Interamericana de España,4.5,782.0
9780415956239,The International Migration of Health Workers,Routledge,4.0,228.0
9788445819135,Medicina preventiva y salud pública,Elsevier España,4.5,1390.0
9780323039277,Alexander's Care of the Patient in Surgery,Mosby,4.32,1280.0
9788466782579,Biología,ANAYA EDUCACIÓN,4.0,375.0
9789500601573,Fisiopatologia,Editorial Médica Panamericana,3.99,1582.0
9788484434290,Les Clés du nouveau DELF B2 Livre de l'élève + CD,"Difusión, Centro de investigacion y publicaciones de Idiomas",4.38,177.0
9783464207079,Studio D A1: Deutsch Als Fremdsprache: Kurs- Und Ubungsbuch,Cornelsen,3.99,255.0
9788466782678,Química,ANAYA EDUCACIÓN,4.0,431.0
